//Main Game level 7
T,Level 7;We inspected the AI in the bomber enemy and made some amazing discoveries.;The AI was written with the sole intent of killing humans.;They are not finding targets based on race but rather on sentience.;A quick scan is done of all objects nearby and if you can quickly;be revealed as not following an automated script or an AI you are a threat.;The truly worrisome part of the bomber AI is a chunk that looked rushed;specifically pertaining to us. HE did not learn our weakness.;But someone or something did.;And that someone or something has access to these robots' AI.
//Player Position
H,100,160,100,384
//Starter Floor
B,T,32,96,416,5984
//Starter Walls
S,T,0,0,96,6016
S,T,0,512,96,6016
S,T,0,96,416,32
S,T,6016,0,608,32
//Dividers
S,480,96,96,96
S,480,416,96,96
E,SpinningBlade,Up,480,384
E,SpinningBlade,Down,544,192
E,Homing,Homing,512,288
S,992,96,96,96
S,992,416,96,96
E,Homing,Homing,1024,288
S,1504,96,96,96
S,1504,416,96,96
E,Homing,Homing,1536,288
S,2016,96,96,96
S,2016,416,96,96
P,energy,1000,2048,256
P,energy,1000,2048,320
S,2528,96,96,96
S,2528,416,96,96
E,Homing,Homing,2560,288
S,3040,96,96,96
S,3040,416,96,96
E,Homing,Homing,3072,288
S,3552,96,96,96
S,3552,416,96,96
P,energy,1000,3584,256
P,energy,1000,3584,320
S,4064,96,96,96
S,4064,416,96,96
E,Homing,Homing,4096,288
S,4576,96,96,96
S,4576,416,96,96
E,Homing,Homing,4608,288
S,5088,96,96,96
S,5088,416,96,96
P,energy,1000,5120,256
P,energy,1000,5120,320
S,5632,96,96,96
S,5632,416,96,96
//block 1
//room 1
S,704,320,32,32
S,672,352,32,96
S,640,384,32,96
S,608,416,32,96
S,640,448,32,32
S,896,128,32,32
S,864,160,32,96
S,832,192,32,96
S,800,224,32,96
S,832,256,32,32
//E,Turret,None,672,384
//E,Turret,None,864,192
E,Homing,Homing,640,160
E,Homing,Homing,768,288
E,Homing,Homing,896,416
P,money,1000,576,480
P,money,1000,960,96
//room 2
A,1152,128,64,64
A,1120,160,64,64
A,1120,384,64,64
A,1152,416,64,64
A,1376,128,64,64
A,1408,160,64,64
A,1408,384,64,64
A,1376,416,64,64
S,1248,256,96,96
S,1216,288,32,32
S,1280,224,32,32
S,1280,352,32,32
S,1344,288,32,32
E,Turret,None,1152,160
E,Turret,None,1152,416
E,Turret,None,1408,160
E,Turret,None,1408,416
E,Homing,Homing,1152,288
E,Homing,Homing,1408,288
P,money,1000,1088,96
P,money,1000,1088,480
P,money,1000,1472,96
P,money,1000,1472,480
//room 3
S,1856,320,32,32
S,1824,352,32,96
S,1856,384,32,96
S,1888,416,32,96
S,1920,448,32,32
S,1664,128,32,32
S,1632,160,32,96
S,1664,192,32,96
S,1696,224,32,96
S,1728,256,32,32
//E,Turret,None,1888,384
//E,Turret,None,1696,192
E,Homing,Homing,1920,160
E,Homing,Homing,1792,288
E,Homing,Homing,1664,416
P,money,1000,1984,480
P,money,1000,1600,96
//block 2
//room 1
S,2240,320,32,32
S,2208,352,32,96
S,2176,384,32,96
S,2144,416,32,96
S,2176,448,32,32
S,2432,128,32,32
S,2400,160,32,96
S,2368,192,32,96
S,2336,224,32,96
S,2368,256,32,32
//E,Turret,None,2208,384
//E,Turret,None,2400,192
E,Homing,Homing,2176,160
E,Homing,Homing,2304,288
E,Homing,Homing,2432,416
P,money,1000,2112,480
P,money,1000,2496,96
//room 2
A,2688,128,64,64
A,2656,160,64,64
A,2656,384,64,64
A,2688,416,64,64
A,2912,128,64,64
A,2944,160,64,64
A,2944,384,64,64
A,2912,416,64,64
S,2784,256,96,96
S,2752,288,32,32
S,2816,224,32,32
S,2816,352,32,32
S,2880,288,32,32
E,Turret,None,2688,160
E,Turret,None,2688,416
E,Turret,None,2944,160
E,Turret,None,2944,416
E,Homing,Homing,2688,288
E,Homing,Homing,2944,288
P,money,1000,2624,96
P,money,1000,2624,480
P,money,1000,3008,96
P,money,1000,3008,480
//room 3
S,3392,320,32,32
S,3360,352,32,96
S,3392,384,32,96
S,3424,416,32,96
S,3456,448,32,32
S,3200,128,32,32
S,3168,160,32,96
S,3200,192,32,96
S,3232,224,32,96
S,3264,256,32,32
//E,Turret,None,3424,384
//E,Turret,None,3232,192
E,Homing,Homing,3456,160
E,Homing,Homing,3328,288
E,Homing,Homing,3200,416
P,money,1000,3520,480
P,money,1000,3136,96
//block 3
//room 1
S,3776,320,32,32
S,3744,352,32,96
S,3712,384,32,96
S,3680,416,32,96
S,3712,448,32,32
S,3968,128,32,32
S,3936,160,32,96
S,3904,192,32,96
S,3872,224,32,96
S,3904,256,32,32
//E,Turret,None,3744,384
//E,Turret,None,3936,192
E,Homing,Homing,3712,160
E,Homing,Homing,3840,288
E,Homing,Homing,3968,416
P,money,1000,3648,480
P,money,1000,4032,96
//room 2
A,4224,128,64,64
A,4192,160,64,64
A,4192,384,64,64
A,4224,416,64,64
A,4448,128,64,64
A,4480,160,64,64
A,4480,384,64,64
A,4448,416,64,64
S,4320,256,96,96
S,4288,288,32,32
S,4352,224,32,32
S,4352,352,32,32
S,4416,288,32,32
E,Turret,None,4224,160
E,Turret,None,4224,416
E,Turret,None,4480,160
E,Turret,None,4480,416
E,Homing,Homing,4224,288
E,Homing,Homing,4480,288
P,money,1000,4160,96
P,money,1000,4160,480
P,money,1000,4544,96
P,money,1000,4544,480
//room 3
S,4928,320,32,32
S,4896,352,32,96
S,4928,384,32,96
S,4960,416,32,96
S,4992,448,32,32
S,4736,128,32,32
S,4704,160,32,96
S,4736,192,32,96
S,4768,224,32,96
S,4800,256,32,32
//E,Turret,None,4960,384
//E,Turret,None,4768,192
E,Homing,Homing,4992,160
E,Homing,Homing,4864,288
E,Homing,Homing,4736,416
P,money,1000,5056,480
P,money,1000,4672,96
//Final Room
S,T,5248,96,320,64
S,T,5376,192,320,64
S,T,5504,96,320,64
P,money,1000,5216,96
P,money,1000,5344,480
P,money,1000,5568,96
P,money,1000,5440,480
Z,Spikes,5248,416
Z,Spikes,5280,416
Z,Spikes,5376,160
Z,Spikes,5408,160
Z,Spikes,5504,416
Z,Spikes,5536,416
Z,SpeedDown,5184,96
Z,SpeedDown,5184,128
Z,SpeedDown,5216,128
Z,SpeedDown,5184,160
Z,SpeedDown,5216,160
Z,SpeedDown,5600,96
Z,SpeedDown,5568,128
Z,SpeedDown,5600,128
Z,SpeedDown,5568,160
Z,SpeedDown,5600,160
//Victory
F,5984,256
F,5984,288
F,5984,320
